feature,importance,importance_pct,rank
V12,0.1280574034610504,12.81,1
V14,0.1266448195305893,12.66,2
V4_V11_interaction,0.12425090892835548,12.43,3
V10,0.09126612052257731,9.13,4
V17,0.08871585769793798,8.87,5
V4,0.07489378131341075,7.49,6
V14_V17_interaction,0.06390339353333785,6.39,7
V11,0.04406569866015702,4.41,8
V16,0.029326776038517143,2.93,9
V7,0.02773055927284745,2.77,10
V3,0.026116024117613913,2.61,11
V2,0.01639279764364789,1.64,12
V8,0.011547974542806084,1.15,13
V19,0.010662300100367806,1.07,14
Amount_scaled,0.01048800862193407,1.05,15
V5,0.010276857434360178,1.03,16
V20,0.010132705319346633,1.01,17
V13,0.008812738711041304,0.88,18
V21,0.007945939234814388,0.79,19
V6,0.007760790585471159,0.78,20
V26,0.007495526147613341,0.75,21
amount_deviation,0.006283641304842396,0.63,22
V15,0.006155903946138693,0.62,23
V1,0.006054610667460883,0.61,24
V18,0.005793061111856401,0.58,25
V9,0.005628105302861139,0.56,26
hour_sin,0.0052169790211561125,0.52,27
V28,0.004895249089009516,0.49,28
V23,0.004554483386650259,0.46,29
V27,0.00445636193302614,0.45,30
V25,0.004409086778956255,0.44,31
hour_cos,0.004385286126835842,0.44,32
V22,0.0038751493448294216,0.39,33
Time_scaled,0.0038741888453514006,0.39,34
rolling_avg_amount,0.0038511851849160595,0.39,35
V24,0.003803462873463467,0.38,36
is_high_amount,0.0002762636648482103,0.03,37
tx_velocity,4.2962547540042857e-16,0.0,38
